pH,Temperature,Density,Colour,Grade
6.8,43,1.03,245,2
6.4,36,1.03,247,2
8.8,50,1.03,249,0
6.6,34,1.03,244,1
8.8,54,1.02,243,0
6.8,45,1.03,249,1
5.0,60,1.02,255,0
6.6,48,1.03,251,1
8.1,58,1.02,255,0
6.6,40,1.03,243,1
8.6,59,1.02,245,0
6.6,42,1.03,250,2
6.7,39,1.03,251,1
6.6,38,1.03,244,1
8.8,57,1.02,242,0
5.0,57,1.02,249,0
6.7,42,1.03,253,2
6.8,45,1.03,246,2
6.7,45,1.03,246,2
6.6,37,1.03,246,2
6.7,50,1.03,247,1
5.3,59,1.02,250,0
6.5,43,1.03,248,1
8.8,60,1.03,251,0
5.4,55,1.02,254,0
6.7,49,1.03,245,1
8.7,58,1.02,245,0
6.6,35,1.03,254,1
6.7,43,1.03,249,2
6.8,45,1.03,240,1
8.2,56,1.03,252,0
6.6,35,1.03,254,1
6.5,35,1.03,244,1
6.7,45,1.03,250,2
5.6,56,1.02,240,0
6.7,41,1.03,252,2
5.2,59,1.03,244,0
5.5,50,1.03,243,0
8.9,54,1.02,242,0
8.6,57,1.02,244,0
6.6,49,1.03,241,1
8.4,55,1.02,247,0
6.7,50,1.03,253,1
8.4,53,1.02,254,0
8.5,59,1.02,242,0
5.8,53,1.03,250,0
5.3,50,1.03,255,0
6.5,39,1.03,253,1
5.4,52,1.02,255,0
6.5,41,1.03,248,1
6.6,44,1.03,248,2
6.7,42,1.03,245,2
6.5,46,1.03,242,1
6.7,48,1.03,250,1
6.5,38,1.03,255,2
6.7,44,1.03,250,2
6.6,45,1.03,254,1
6.6,48,1.03,247,1
6.5,37,1.03,252,2
6.7,45,1.03,250,2
6.5,38,1.03,248,1
5.3,60,1.03,250,0
5.2,56,1.02,253,0
6.7,34,1.03,254,1
8.3,53,1.02,254,0
5.8,58,1.03,244,0
6.7,50,1.03,243,1
6.8,35,1.03,251,2
6.7,41,1.03,255,2
6.6,45,1.03,254,1
6.5,44,1.03,252,2
6.5,40,1.03,251,2
6.6,38,1.03,253,1
8.2,51,1.02,244,0
6.6,42,1.03,248,2
6.4,39,1.03,255,1
6.8,39,1.03,251,2
6.7,35,1.03,254,2
6.8,40,1.03,247,2
5.9,52,1.02,242,0
6.7,45,1.03,255,2
6.7,36,1.03,242,1
6.6,39,1.03,253,2
6.7,37,1.03,255,2
6.6,50,1.03,253,1
6.7,40,1.03,250,1
8.2,55,1.02,255,0
5.4,57,1.02,240,0
6.4,42,1.03,251,2
6.5,37,1.03,246,1
5.1,51,1.02,253,0
6.6,43,1.03,247,2
6.6,38,1.03,251,2
8.3,56,1.02,242,0
8.4,59,1.02,252,0
5.0,52,1.03,249,0
6.6,48,1.03,244,1
8.4,53,1.02,243,0
5.2,59,1.03,246,0
5.6,60,1.02,254,0
6.7,36,1.03,245,2
5.4,58,1.02,251,0
6.4,44,1.03,255,2
8.3,55,1.02,253,0
6.5,47,1.03,253,1
6.5,43,1.03,248,1
8.3,52,1.02,249,0
5.1,52,1.02,250,0
6.5,42,1.03,248,1
8.5,57,1.02,242,0
6.7,37,1.03,248,2
6.6,41,1.03,254,2
8.8,60,1.03,247,0
6.8,35,1.03,249,2
5.3,59,1.02,251,0
8.1,59,1.02,244,0
6.5,49,1.03,249,1
6.6,49,1.03,246,1
8.9,60,1.02,253,0
6.6,45,1.03,255,2
6.6,36,1.03,250,1
6.7,44,1.03,254,2
8.9,54,1.02,250,0
5.8,58,1.02,252,0
6.8,45,1.03,244,1
5.0,50,1.02,249,0
8.3,52,1.02,243,0
6.5,34,1.03,254,1
5.9,54,1.02,249,0
6.4,35,1.03,246,2
6.6,48,1.03,243,1
5.9,55,1.02,244,0
6.6,37,1.03,253,2
6.5,44,1.03,249,2
5.8,59,1.02,253,0
8.4,56,1.02,252,0
6.6,42,1.03,240,1
6.7,37,1.03,251,1
5.7,60,1.02,241,0
6.5,50,1.03,249,1
6.5,39,1.03,248,2
8.4,59,1.03,253,0
8.7,60,1.02,244,0
6.6,47,1.03,243,1
6.5,38,1.03,250,2
6.4,37,1.03,243,1
6.7,43,1.03,248,1
6.5,35,1.03,247,2
6.4,36,1.03,245,2
8.2,54,1.02,242,0
6.6,43,1.03,250,2
6.4,41,1.03,250,2
6.7,44,1.03,246,1
6.5,41,1.03,253,2
6.7,45,1.03,253,2
6.7,41,1.03,254,2
8.4,53,1.02,240,0
6.4,34,1.03,240,1
6.5,37,1.03,252,1
9.0,55,1.02,244,0
8.2,59,1.02,241,0
8.1,51,1.03,243,0
8.8,53,1.02,245,0
6.4,40,1.03,250,2
6.5,39,1.03,247,1
6.6,49,1.03,243,1
6.8,41,1.03,250,2
5.6,57,1.03,248,0
6.7,44,1.03,248,2
6.6,39,1.03,253,1
6.5,35,1.03,250,2
6.7,47,1.03,252,1
6.7,48,1.03,252,1
6.8,37,1.03,255,1
6.4,44,1.03,253,2
6.7,46,1.03,247,1
6.8,36,1.03,249,2
6.5,44,1.03,252,1
6.6,38,1.03,248,2
6.5,43,1.03,251,2
5.0,58,1.02,242,0
6.5,45,1.03,241,1
6.6,41,1.03,255,2
6.6,43,1.03,252,2
9.0,53,1.02,244,0
6.7,43,1.03,245,2
6.8,42,1.03,242,1
6.6,40,1.03,242,1
5.6,59,1.02,251,0
6.6,43,1.03,246,2
6.7,48,1.03,246,1
8.1,60,1.02,254,0
8.2,54,1.02,251,0
6.5,43,1.03,255,2
6.7,38,1.03,255,2
8.3,52,1.02,254,0
6.7,36,1.03,246,2
5.4,52,1.02,247,0
6.6,43,1.03,255,1
6.6,40,1.03,254,2
6.5,41,1.03,245,1
6.4,45,1.03,246,2
6.5,37,1.03,247,2
5.0,51,1.02,254,0
6.5,40,1.03,246,2
6.7,49,1.03,251,1
5.7,59,1.02,241,0
6.8,40,1.03,245,2
8.3,51,1.03,251,0
5.1,59,1.02,251,0
5.7,51,1.03,241,0
6.8,44,1.03,245,2
6.6,44,1.03,248,1
8.7,51,1.02,251,0
6.6,47,1.03,242,1
8.5,56,1.02,247,0
6.5,49,1.03,245,1
6.6,44,1.03,255,2
6.5,42,1.03,249,1
6.4,38,1.03,251,1
6.5,45,1.03,246,2
5.7,58,1.02,247,0
6.5,43,1.03,246,2
6.4,43,1.03,249,2
6.6,50,1.03,253,1
6.5,35,1.03,254,2
6.8,38,1.03,247,2
6.7,37,1.03,255,2
6.5,47,1.03,250,1
6.7,44,1.03,253,1
8.1,58,1.02,240,0
6.6,40,1.03,241,1
8.6,56,1.02,254,0
6.4,38,1.03,243,1
6.6,37,1.03,245,1
6.8,35,1.03,247,2
6.7,44,1.03,249,2
6.6,35,1.03,252,2
6.7,43,1.03,247,2
8.8,52,1.02,241,0
5.5,53,1.02,246,0
6.6,42,1.03,245,2
6.4,42,1.03,252,2
6.5,45,1.03,248,2
6.6,39,1.03,253,1
6.4,38,1.03,254,2
5.1,55,1.02,242,0
6.7,43,1.03,255,1
8.9,60,1.02,240,0
6.7,35,1.03,252,1
6.8,45,1.03,255,2
6.8,40,1.03,245,2
6.6,42,1.03,248,2
5.7,58,1.02,241,0
5.7,60,1.02,243,0
6.7,36,1.03,252,1
6.7,43,1.03,255,1
6.7,37,1.03,249,2
6.5,44,1.03,250,2
6.8,45,1.03,255,2
6.6,40,1.03,252,2
6.7,41,1.03,242,1
6.8,42,1.03,253,2
6.7,41,1.03,242,1
8.4,51,1.02,243,0
6.8,43,1.03,253,1
6.6,34,1.03,241,1
6.7,39,1.03,253,2
6.5,43,1.03,245,1
6.5,43,1.03,251,2
5.3,53,1.02,244,0
6.6,36,1.03,245,2
6.6,35,1.03,250,2
5.6,50,1.03,242,0
6.8,44,1.03,250,2
6.7,35,1.03,247,1
6.5,45,1.03,248,2
8.2,50,1.03,253,0
6.6,45,1.03,243,1
6.6,40,1.03,255,1
8.2,52,1.02,240,0
6.5,41,1.03,253,2
5.1,54,1.02,252,0
6.4,37,1.03,252,2
8.3,56,1.02,247,0
6.7,45,1.03,252,2
6.5,45,1.03,243,1
6.4,38,1.03,246,2
6.5,40,1.03,245,1
6.4,47,1.03,245,1
6.8,44,1.03,254,2
9.0,54,1.02,253,0
6.4,37,1.03,255,1
6.5,34,1.03,246,1
8.8,58,1.02,248,0
5.3,54,1.02,240,0
6.4,45,1.03,251,2
8.3,50,1.03,247,0
8.6,60,1.02,252,0
6.5,35,1.03,254,2
6.6,43,1.03,248,2
6.7,44,1.03,250,2
5.6,54,1.02,246,0
6.6,45,1.03,252,2
8.5,51,1.02,250,0
6.6,43,1.03,254,2
8.7,50,1.02,249,0
5.6,60,1.02,250,0
6.5,38,1.03,250,1
8.7,55,1.03,247,0
5.3,57,1.02,250,0
8.4,58,1.02,249,0
6.8,41,1.03,250,1
6.6,48,1.03,250,1
5.0,52,1.02,254,0
6.7,39,1.03,244,1
6.7,42,1.03,246,2
6.8,44,1.03,250,2
8.7,55,1.02,245,0
5.6,57,1.02,241,0
9.0,52,1.02,247,0
8.9,58,1.02,245,0
6.8,36,1.03,252,2
6.5,50,1.03,254,1
6.6,44,1.03,255,1
6.5,37,1.03,243,1
5.3,53,1.03,246,0
6.4,45,1.03,253,2
6.6,45,1.03,251,1
5.8,55,1.02,241,0
6.7,38,1.03,251,1
6.4,42,1.03,254,2
6.6,35,1.03,246,2
6.8,35,1.03,251,2
6.5,44,1.03,248,2
5.5,51,1.02,251,0
6.6,46,1.03,249,1
8.8,58,1.02,249,0
6.5,48,1.03,245,1
5.3,53,1.02,252,0
6.6,43,1.03,245,2
6.5,45,1.03,250,2
6.5,42,1.03,248,2
8.9,50,1.02,247,0
6.6,39,1.03,250,2
6.7,38,1.03,240,1
6.6,38,1.03,247,1
6.5,45,1.03,242,1
6.4,35,1.03,253,2
6.7,41,1.03,254,2
6.6,37,1.03,246,1
6.6,46,1.03,250,1
6.6,44,1.03,253,1
5.5,51,1.02,249,0
6.6,46,1.03,241,1
6.4,38,1.03,246,1
6.7,37,1.03,253,1
6.5,42,1.03,254,2
6.5,50,1.03,241,1
6.5,45,1.03,252,1
6.6,36,1.03,252,1
6.4,36,1.03,244,1
6.7,45,1.03,251,1
6.6,37,1.03,250,2
5.0,52,1.02,241,0
6.7,44,1.03,252,2
6.4,43,1.03,249,2
5.5,57,1.02,243,0
6.6,44,1.03,249,1
6.7,38,1.03,251,2
6.4,41,1.03,252,2
6.8,39,1.03,252,1
6.8,42,1.03,249,1
5.2,53,1.02,241,0
6.6,38,1.03,250,1
6.5,41,1.03,251,2
6.4,49,1.03,240,1
6.7,48,1.03,250,1
6.4,41,1.03,253,2
6.5,50,1.03,240,1
5.4,55,1.02,247,0
6.5,47,1.03,249,1
5.9,56,1.02,248,0
6.6,50,1.03,244,1
6.6,40,1.03,247,2
5.8,54,1.02,245,0
6.4,41,1.03,251,2
6.5,37,1.03,254,2
5.3,59,1.02,252,0
8.5,51,1.02,254,0
6.5,37,1.03,252,2
6.7,43,1.03,244,1
6.6,39,1.03,247,1
6.6,35,1.03,252,1
8.6,58,1.02,253,0
6.4,46,1.03,242,1
6.7,45,1.03,246,2
6.8,42,1.03,251,2
6.5,42,1.03,252,2
6.5,42,1.03,240,1
6.7,37,1.03,253,1
6.5,34,1.03,248,1
8.5,59,1.03,255,0
6.8,39,1.03,250,2
6.7,37,1.03,242,1
5.9,54,1.02,241,0
6.5,39,1.03,247,1
8.3,60,1.02,249,0
6.8,38,1.03,254,1
6.5,42,1.03,248,2
6.6,50,1.03,253,1
6.4,39,1.03,249,1
6.7,38,1.03,252,2
6.6,41,1.03,248,2
6.7,40,1.03,253,1
6.6,45,1.03,254,2
6.0,58,1.02,246,0
6.6,39,1.03,251,2
8.9,57,1.02,252,0
6.5,34,1.03,244,1
6.4,38,1.03,255,2
5.2,59,1.02,241,0
6.4,35,1.03,255,2
6.4,41,1.03,244,1
6.8,45,1.03,252,2
6.5,37,1.03,249,2
6.4,36,1.03,255,2
6.0,58,1.02,248,0
6.4,41,1.03,246,1
8.3,51,1.02,244,0
6.5,50,1.03,254,1
6.5,50,1.03,243,1
6.6,34,1.03,252,1
6.7,42,1.03,249,1
8.6,50,1.02,248,0
6.7,37,1.03,249,2
5.7,58,1.02,242,0
6.5,38,1.03,246,2
6.6,42,1.03,245,2
6.5,38,1.03,255,1
6.7,42,1.03,252,2
5.5,58,1.02,250,0
8.8,56,1.02,250,0
6.7,41,1.03,253,2
6.7,40,1.03,248,1
5.3,52,1.02,249,0
6.7,36,1.03,255,1
5.1,60,1.02,249,0
6.7,34,1.03,252,1
6.4,35,1.03,249,2
6.7,35,1.03,244,1
5.9,52,1.03,240,0
6.0,58,1.02,246,0
6.7,49,1.03,248,1
6.6,42,1.03,249,2
6.8,35,1.03,245,2
8.6,52,1.02,251,0
5.7,54,1.02,253,0
6.7,39,1.03,252,2
6.5,40,1.03,253,2
6.6,39,1.03,255,2
8.9,60,1.02,255,0
5.5,51,1.02,246,0
6.5,44,1.03,252,1
6.6,38,1.03,246,2
6.6,39,1.03,249,2
6.4,45,1.03,247,2
5.4,56,1.02,244,0
6.8,44,1.03,248,1
5.1,59,1.02,249,0
5.0,58,1.02,245,0
6.6,35,1.03,247,2
5.5,59,1.02,247,0
5.6,56,1.03,243,0
6.6,44,1.03,253,2
5.3,52,1.02,255,0
6.7,44,1.03,247,2
6.7,45,1.03,246,2
6.5,37,1.03,253,1
6.6,45,1.03,249,1
6.7,34,1.03,248,1
6.7,36,1.03,254,2
6.8,40,1.03,249,2
5.5,54,1.02,242,0
6.5,38,1.03,246,2
5.1,55,1.02,252,0
8.9,52,1.02,241,0
6.6,41,1.03,254,2
6.5,40,1.03,253,1
6.6,39,1.03,252,2
6.7,38,1.03,250,2
8.5,55,1.02,249,0
6.4,41,1.03,253,2
6.7,41,1.03,246,2
6.5,40,1.03,252,2
6.8,37,1.03,255,2
6.7,39,1.03,252,2
6.7,37,1.03,247,2
6.7,39,1.03,251,2
6.7,37,1.03,250,1
6.6,37,1.03,249,2
6.7,37,1.03,248,1
6.5,43,1.03,253,2
6.4,43,1.03,242,1
6.7,42,1.03,245,2
6.8,39,1.03,240,1
6.7,36,1.03,253,2
5.1,53,1.03,253,0
6.6,39,1.03,250,1
6.5,36,1.03,245,2
6.7,40,1.03,252,2
5.2,50,1.02,240,0
6.5,42,1.03,245,2
5.4,59,1.02,243,0
6.5,48,1.03,250,1
6.5,41,1.03,252,2
6.8,49,1.03,249,1
8.6,57,1.02,250,0
6.7,43,1.03,251,2
6.7,37,1.03,245,1
6.7,38,1.03,255,2
6.7,37,1.03,247,2
6.8,37,1.03,254,2
5.9,51,1.02,249,0
6.4,41,1.03,245,1
6.5,37,1.03,249,2
6.7,42,1.03,251,2
6.5,43,1.03,249,2
5.7,52,1.03,253,0
6.8,50,1.03,254,1
6.7,39,1.03,246,2
8.4,60,1.02,246,0
6.8,35,1.03,247,2
6.5,35,1.03,247,2
6.5,43,1.03,245,2
8.1,53,1.03,247,0
8.3,57,1.02,251,0
8.1,56,1.02,244,0
6.5,38,1.03,252,1
6.7,37,1.03,245,1
6.6,37,1.03,254,1
5.6,54,1.03,252,0
6.7,49,1.03,248,1
5.2,56,1.02,255,0
6.4,43,1.03,249,2
6.5,35,1.03,254,1
8.2,51,1.03,244,0
8.6,56,1.02,247,0
6.5,39,1.03,249,2
8.6,50,1.02,249,0
6.5,43,1.03,242,1
5.2,54,1.02,253,0
6.6,38,1.03,247,2
5.2,56,1.02,247,0
5.1,55,1.02,254,0
6.5,38,1.03,251,1
6.6,41,1.03,252,1
6.7,38,1.03,255,1
6.5,37,1.03,246,2
5.2,60,1.02,253,0
6.5,44,1.03,250,2
6.5,49,1.03,247,1
6.6,38,1.03,252,2
6.7,36,1.03,255,1
6.6,47,1.03,250,1
6.6,39,1.03,249,2
8.9,57,1.02,252,0
6.6,46,1.03,249,1
8.4,59,1.03,245,0
8.5,58,1.03,242,0
6.4,43,1.03,246,1
6.4,40,1.03,246,2
6.5,38,1.03,248,1
6.5,37,1.03,244,1
8.5,57,1.02,255,0
6.5,43,1.03,253,2
6.5,41,1.03,251,1
8.3,54,1.02,249,0
6.5,43,1.03,254,1
8.9,58,1.03,242,0
8.6,56,1.02,255,0
6.6,35,1.03,255,1
6.7,45,1.03,248,2
6.6,43,1.03,245,2
6.7,36,1.03,245,2
6.8,34,1.03,255,1
5.6,53,1.02,242,0
6.6,42,1.03,255,2
6.5,42,1.03,254,2
6.7,45,1.03,251,2
6.6,35,1.03,249,1
6.8,38,1.03,248,2
6.4,38,1.03,248,1
6.7,44,1.03,250,2
5.1,54,1.02,253,0
8.2,53,1.02,251,0
6.7,35,1.03,247,2
6.0,60,1.02,243,0
6.4,41,1.03,247,2
6.6,45,1.03,245,2
6.8,40,1.03,251,1
6.7,35,1.03,247,1
6.7,38,1.03,252,1
6.6,35,1.03,242,1
6.4,44,1.03,255,2
6.5,42,1.03,248,2
6.5,38,1.03,247,1
6.7,38,1.03,255,1
6.8,42,1.03,246,2
6.7,43,1.03,247,2
6.8,35,1.03,241,1
6.6,45,1.03,252,2
6.5,42,1.03,252,2
8.6,60,1.02,243,0
6.7,36,1.03,247,2
5.0,59,1.03,248,0
8.7,59,1.02,243,0
6.6,37,1.03,247,2
6.5,43,1.03,240,1
6.7,44,1.03,246,2
5.2,52,1.02,249,0
6.8,44,1.03,255,2
6.6,39,1.03,253,2
6.4,35,1.03,254,2
6.6,44,1.03,241,1
6.7,45,1.03,240,1
5.4,56,1.02,246,0
6.5,39,1.03,242,1
6.4,47,1.03,240,1
6.6,42,1.03,248,2
6.7,40,1.03,247,2
6.7,38,1.03,250,1
6.8,36,1.03,245,2
5.6,53,1.02,254,0
6.4,43,1.03,248,2
6.5,43,1.03,255,2
8.4,52,1.02,245,0
8.6,56,1.02,241,0
6.7,36,1.03,255,2
6.6,35,1.03,243,1
6.8,40,1.03,243,1
6.5,39,1.03,253,2
9.0,55,1.03,240,0
6.8,39,1.03,250,1
6.7,40,1.03,242,1
5.3,51,1.02,241,0
6.7,41,1.03,246,2
6.7,36,1.03,247,2
5.3,55,1.02,242,0
6.7,38,1.03,251,2
6.6,48,1.03,252,1
6.5,36,1.03,250,2
5.2,57,1.03,253,0
6.7,49,1.03,241,1
6.7,35,1.03,255,1
6.6,42,1.03,254,2
6.4,41,1.03,247,2
6.6,44,1.03,255,2
6.7,45,1.03,246,2
6.7,42,1.03,250,1
6.5,40,1.03,255,1
6.4,37,1.03,254,2
8.3,59,1.02,248,0
6.7,41,1.03,255,1
6.4,34,1.03,245,1
6.5,38,1.03,255,2
5.7,56,1.02,242,0
5.6,54,1.02,251,0
8.8,56,1.02,243,0
8.2,59,1.02,251,0
8.6,51,1.02,253,0
8.2,59,1.02,242,0
6.6,45,1.03,246,2
6.7,35,1.03,252,2
5.8,56,1.02,249,0
5.1,50,1.03,244,0
5.7,50,1.02,250,0
8.5,59,1.03,240,0
6.7,40,1.03,250,1
6.8,37,1.03,251,2
6.7,46,1.03,243,1
6.5,44,1.03,244,1
8.4,55,1.02,250,0
6.6,35,1.03,245,1
6.7,48,1.03,243,1
6.5,37,1.03,249,2
5.3,59,1.02,243,0
6.4,48,1.03,254,1
6.7,39,1.03,248,1
6.6,35,1.03,240,1
6.4,38,1.03,253,2
8.9,58,1.02,250,0
6.6,40,1.03,245,2
6.4,50,1.03,242,1
6.8,49,1.03,244,1
5.8,54,1.03,245,0
6.4,42,1.03,254,2
6.8,48,1.03,241,1
5.6,51,1.03,249,0
6.7,39,1.03,251,2
8.3,51,1.02,245,0
6.7,43,1.03,250,1
6.5,43,1.03,247,1
6.8,49,1.03,246,1
5.7,52,1.02,242,0
6.4,40,1.03,246,2
6.4,40,1.03,248,2
5.2,51,1.02,249,0
5.1,60,1.02,255,0
6.6,35,1.03,252,2
6.7,49,1.03,241,1
6.8,37,1.03,252,1
5.3,57,1.02,250,0
6.6,41,1.03,254,2
8.9,51,1.02,247,0
5.5,56,1.02,246,0
6.4,46,1.03,253,1
6.8,44,1.03,255,2
6.5,50,1.03,247,1
8.2,55,1.02,251,0
6.5,36,1.03,245,2
5.6,55,1.02,255,0
5.8,59,1.02,240,0
8.9,54,1.02,246,0
6.0,60,1.02,242,0
6.7,46,1.03,253,1
6.7,47,1.03,245,1
6.7,45,1.03,253,2
6.5,45,1.03,240,1
6.5,45,1.03,252,2
6.7,40,1.03,247,2
5.4,56,1.02,244,0
8.9,54,1.02,252,0
6.5,45,1.03,248,1
6.8,45,1.03,250,2
6.5,43,1.03,242,1
6.7,38,1.03,243,1
5.9,53,1.03,255,0
8.5,52,1.02,255,0
6.5,39,1.03,248,2
6.5,42,1.03,244,1
6.6,40,1.03,247,1
6.5,35,1.03,245,1
6.5,40,1.03,254,2
6.7,36,1.03,246,2
6.7,40,1.03,243,1
6.7,35,1.03,247,1
6.7,38,1.03,252,1
6.7,35,1.03,248,1
5.9,55,1.03,249,0
6.8,39,1.03,249,2
6.7,38,1.03,245,2
6.5,44,1.03,252,1
6.6,49,1.03,254,1
6.6,45,1.03,249,2
6.6,36,1.03,253,1
6.6,43,1.03,249,2
6.5,50,1.03,251,1
8.3,53,1.02,242,0
6.6,38,1.03,241,1
6.7,45,1.03,246,1
8.5,50,1.02,255,0
8.4,58,1.02,252,0
6.4,38,1.03,247,2
6.5,39,1.03,255,2
6.4,45,1.03,253,2
8.4,57,1.02,243,0
5.5,55,1.02,243,0
6.4,43,1.03,244,1
8.8,58,1.02,248,0
6.4,45,1.03,245,2
6.7,43,1.03,254,1
6.7,43,1.03,250,1
6.7,41,1.03,251,1
6.8,36,1.03,254,2
6.4,45,1.03,253,2
6.4,42,1.03,250,2
8.5,54,1.02,242,0
6.4,47,1.03,255,1
6.7,41,1.03,246,2
5.3,54,1.02,244,0
5.4,57,1.02,241,0
6.7,42,1.03,252,2
6.7,41,1.03,248,2
5.2,57,1.02,243,0
6.6,43,1.03,253,2
8.4,59,1.02,252,0
6.7,45,1.03,254,2
8.3,59,1.03,253,0
6.7,41,1.03,248,2
6.8,45,1.03,254,2
8.3,55,1.02,252,0
5.9,53,1.02,240,0
6.5,40,1.03,252,2
8.9,50,1.02,255,0
8.8,59,1.02,249,0
8.6,60,1.03,245,0
5.5,59,1.02,252,0
6.5,36,1.03,253,1
5.3,51,1.02,252,0
6.6,35,1.03,252,1
5.9,54,1.03,248,0
6.6,35,1.03,252,2
5.4,59,1.02,252,0
6.4,36,1.03,247,1
6.5,42,1.03,247,2
6.6,46,1.03,254,1
6.7,43,1.03,252,2
6.5,44,1.03,246,1
5.8,57,1.02,241,0
5.4,57,1.02,242,0
6.5,41,1.03,249,1
8.4,52,1.02,248,0
6.7,34,1.03,244,1
8.5,51,1.03,249,0
5.4,54,1.02,243,0
8.3,53,1.02,240,0
6.5,39,1.03,251,2
5.8,53,1.02,254,0
6.7,43,1.03,252,2
6.5,37,1.03,245,2
6.6,47,1.03,252,1
5.1,59,1.02,240,0
6.5,39,1.03,246,2
6.8,43,1.03,255,1
6.7,44,1.03,253,1
6.6,38,1.03,250,2
8.4,51,1.02,248,0
6.5,45,1.03,247,1
6.7,34,1.03,243,1
6.5,41,1.03,241,1
6.4,42,1.03,247,1
6.5,38,1.03,243,1
6.8,44,1.03,247,2
6.8,43,1.03,253,2
6.6,40,1.03,255,1
8.4,58,1.02,249,0
6.5,44,1.03,252,2
6.7,42,1.03,249,2
6.8,38,1.03,250,2
8.5,53,1.02,241,0
6.7,43,1.03,255,1
6.7,44,1.03,245,2
6.6,38,1.03,255,2
8.2,58,1.02,249,0
5.9,56,1.02,255,0
8.9,53,1.02,242,0
6.4,42,1.03,249,2
6.5,44,1.03,255,2
8.5,55,1.02,244,0
6.6,37,1.03,246,2
5.8,50,1.03,248,0
6.4,44,1.03,247,2
6.6,44,1.03,255,1
8.5,57,1.02,243,0
6.5,47,1.03,242,1
6.4,45,1.03,255,2
6.6,42,1.03,245,2
9.0,53,1.02,251,0
6.6,39,1.03,254,2
6.6,36,1.03,249,1
6.5,38,1.03,244,1
5.6,57,1.02,249,0
6.7,49,1.03,251,1
6.4,42,1.03,248,1
8.6,55,1.02,251,0
6.5,48,1.03,244,1
5.3,56,1.02,247,0
6.5,37,1.03,251,1
6.5,36,1.03,249,2
5.2,55,1.02,251,0
6.5,36,1.03,251,2
8.2,50,1.02,242,0
6.8,43,1.03,247,2
6.5,49,1.03,252,1
6.6,47,1.03,248,1
5.3,53,1.02,246,0
5.6,51,1.02,241,0
8.8,53,1.02,245,0
6.7,35,1.03,251,2
5.4,59,1.02,246,0
8.8,53,1.02,254,0
6.4,46,1.03,250,1
6.7,42,1.03,253,1
6.8,41,1.03,249,1
6.6,43,1.03,245,1
6.5,44,1.03,248,1
6.7,44,1.03,249,2
6.4,38,1.03,246,1
5.6,60,1.02,251,0
5.3,51,1.02,244,0
8.9,53,1.02,242,0
8.1,59,1.02,241,0
5.7,53,1.02,255,0
6.5,46,1.03,245,1
8.6,55,1.02,247,0
8.5,60,1.02,249,0
6.5,36,1.03,247,2
6.6,38,1.03,248,2
8.7,52,1.02,249,0
6.4,36,1.03,248,1
8.9,53,1.02,242,0
6.7,36,1.03,241,1
8.9,55,1.03,244,0
6.5,44,1.03,252,2
8.4,52,1.02,254,0
6.7,42,1.03,248,2
6.7,44,1.03,245,2
6.7,48,1.03,246,1
6.7,43,1.03,254,1
6.5,35,1.03,244,1
6.6,34,1.03,240,1
6.7,37,1.03,247,1
6.5,44,1.03,255,1
8.2,60,1.02,241,0
5.2,50,1.02,248,0
8.6,59,1.02,242,0
5.4,54,1.02,247,0
5.8,57,1.02,240,0
6.5,35,1.03,250,1
5.6,53,1.02,249,0
6.6,44,1.03,254,1
6.7,40,1.03,255,2
6.6,35,1.03,246,2
5.3,59,1.02,252,0
6.8,45,1.03,254,2
6.6,38,1.03,251,2
6.6,35,1.03,254,2
6.5,37,1.03,254,2
8.4,56,1.02,251,0
6.6,39,1.03,249,2
6.7,35,1.03,250,2
6.5,44,1.03,250,2
6.6,48,1.03,245,1
6.7,46,1.03,247,1
6.5,40,1.03,240,1
6.4,41,1.03,242,1
6.7,38,1.03,244,1
6.5,40,1.03,251,1
6.4,37,1.03,245,2
6.7,36,1.03,251,2
6.5,37,1.03,252,1
6.5,45,1.03,254,2
6.7,40,1.03,250,1
5.1,52,1.02,254,0
6.6,47,1.03,243,1
6.6,37,1.03,253,1
6.7,40,1.03,255,1
8.5,54,1.02,250,0
8.2,57,1.02,254,0
6.5,47,1.03,241,1
6.8,44,1.03,255,2
6.6,44,1.03,246,1
8.4,55,1.02,242,0
6.8,40,1.03,252,2
6.6,37,1.03,251,2
6.7,43,1.03,252,1
6.7,39,1.03,242,1
5.8,52,1.02,249,0
5.5,60,1.02,247,0
5.8,57,1.02,247,0
6.5,36,1.03,251,2
5.7,57,1.02,250,0
5.0,57,1.02,253,0
6.6,42,1.03,252,2
8.5,52,1.03,245,0
6.7,41,1.03,254,1
6.6,46,1.03,255,1
5.4,51,1.02,249,0
6.7,34,1.03,250,1
5.0,52,1.02,244,0
6.8,36,1.03,254,1
8.9,59,1.02,248,0
6.5,35,1.03,253,1
8.2,51,1.02,246,0
6.7,47,1.03,242,1
6.8,47,1.03,249,1
8.5,53,1.02,252,0
5.7,50,1.02,251,0
6.6,41,1.03,252,2
6.6,43,1.03,246,2
6.6,39,1.03,245,2
6.5,39,1.03,248,2
8.1,57,1.02,240,0
5.9,56,1.02,248,0
6.7,35,1.03,252,2
6.8,36,1.03,252,2
9.0,53,1.02,250,0
6.5,48,1.03,241,1
6.5,40,1.03,241,1
5.7,50,1.02,247,0
6.6,40,1.03,254,2
6.5,40,1.03,253,1
6.5,47,1.03,249,1
6.6,36,1.03,253,1
6.5,37,1.03,251,2
6.4,40,1.03,251,1
6.5,42,1.03,248,2
